"Date_reported","Country_code","Country","WHO_region","New_cases","New_deaths"
2020-06-05,"AF","Afghanistan","EMRO",1078,10
2020-06-06,"AF","Afghanistan","EMRO",582,18
2020-06-07,"AF","Afghanistan","EMRO",791,30
2020-06-08,"AF","Afghanistan","EMRO",575,12
2020-06-09,"AF","Afghanistan","EMRO",305,7
2020-06-10,"AF","Afghanistan","EMRO",920,29
2020-06-11,"AF","Afghanistan","EMRO",748,21
2020-06-12,"AF","Afghanistan","EMRO",656,20
2020-06-13,"AF","Afghanistan","EMRO",556,5
2020-06-14,"AF","Afghanistan","EMRO",664,20
2020-06-15,"AF","Afghanistan","EMRO",761,5
2020-06-16,"AF","Afghanistan","EMRO",106,8
2020-06-17,"AF","Afghanistan","EMRO",1241,20
2020-06-18,"AF","Afghanistan","EMRO",463,42
2020-06-19,"AF","Afghanistan","EMRO",541,2
2020-06-20,"AF","Afghanistan","EMRO",419,0
2020-06-21,"AF","Afghanistan","EMRO",536,33
2020-06-22,"AF","Afghanistan","EMRO",310,17
2020-06-23,"AF","Afghanistan","EMRO",338,20
2020-03-09,"AL","Albania","EURO",2,0
2020-03-10,"AL","Albania","EURO",4,0
2020-03-11,"AL","Albania","EURO",4,0
2020-03-12,"AL","Albania","EURO",13,0
2020-03-13,"AL","Albania","EURO",10,1
2020-03-14,"AL","Albania","EURO",5,0
2020-03-15,"AL","Albania","EURO",4,0
2020-03-16,"AL","Albania","EURO",9,0
2020-03-17,"AL","Albania","EURO",4,0
2020-03-18,"AL","Albania","EURO",4,1
2020-03-19,"AL","Albania","EURO",11,0
2020-03-20,"AL","Albania","EURO",0,0
2020-03-21,"AL","Albania","EURO",6,0
2020-03-22,"AL","Albania","EURO",0,0
2020-03-23,"AL","Albania","EURO",13,0
2020-03-24,"AL","Albania","EURO",34,2
2020-03-25,"AL","Albania","EURO",23,1
2020-03-26,"AL","Albania","EURO",28,0
2020-03-27,"AL","Albania","EURO",12,3
2020-03-28,"AL","Albania","EURO",11,1
2020-03-29,"AL","Albania","EURO",15,1
2020-03-30,"AL","Albania","EURO",11,0
2020-03-31,"AL","Albania","EURO",0,1
2020-04-01,"AL","Albania","EURO",20,2
2020-04-02,"AL","Albania","EURO",34,2
